title,artist,spotify_artist,track_id,artist_id,duration_ms,track_popularity,album_id,album_name,album_release_date,total_tracks
Так ніхто не кохав,Artem Pivovarov,Artem Pivovarov,3eMOXjyANk14AbywQaxfzd,11sIz9STeD6yVSuBaD8nMW,184804,39,4NYbJJwI4ylj4DLOTuhD1E,"Твої Вірші, Мої Ноти PT.2",2024-11-29,17
Полнолуние,Artem Pivovarov,Artem Pivovarov,7wfuWQHoumOaT6o2cdNnoY,11sIz9STeD6yVSuBaD8nMW,179047,20,6CgsCLgyOCxgDDWpDuxfPm,Полнолуние,2018-03-07,6
Ой на горі - Acoustic Version,Artem Pivovarov,Artem Pivovarov,5aWxpPx1K7zr6zMf1DDr8J,11sIz9STeD6yVSuBaD8nMW,138831,21,7qbVCMlTsvDoaxIUflOSxt,Ой на горі (Acoustic Version),2022-10-21,1
Зависимы,Artem Pivovarov,Artem Pivovarov,7oCadVhbmgD7U5MTyVxkby,11sIz9STeD6yVSuBaD8nMW,203409,26,0YsnO662yMAjaOa99vxBug,Океан,2015-08-31,11
Люблю,Artem Pivovarov,Artem Pivovarov,4A6HdLmJextXi6YWs8IV1k,11sIz9STeD6yVSuBaD8nMW,229235,27,7fxJA2Be6qpF9sMPhlKcje,Люблю,2023-05-25,1
Місяць на небі,Artem Pivovarov,Artem Pivovarov,2qj7j73NDERMoiTC5kJdzH,11sIz9STeD6yVSuBaD8nMW,234871,26,5WNjZdBlj83NeNSJF3xgrJ,"Твої Вірші, Мої Ноти PT.1",2023-03-10,17
Валторна,Artem Pivovarov,Artem Pivovarov,3dchTjMBGgsKocgkM5Rknf,11sIz9STeD6yVSuBaD8nMW,369051,32,74jY1Fp54twrmeQXKL9Ute,Валторна,2023-11-17,1
ВідЗоріДоЗорі,Artem Pivovarov,Artem Pivovarov,6yyrcWR6QPIAJp0ceDR6ZA,11sIz9STeD6yVSuBaD8nMW,186529,20,74mEXinPVhPbDMX308bYi8,ВідЗоріДоЗорі,2020-11-04,1
2000,Artem Pivovarov,Artem Pivovarov,4wWjDWxg3G7vGLCOck1Kac,11sIz9STeD6yVSuBaD8nMW,233437,26,5mM1lTjE0J6uIqqE9TmCs9,The Best (UA),2022-11-04,15
Ніч яка місячна,Artem Pivovarov,Artem Pivovarov,1JuxF5q5dYMdgvORANjuQ6,11sIz9STeD6yVSuBaD8nMW,203835,32,3EFBsOR25a4iQ0vQzBwYuV,Ніч яка місячна,2024-10-02,1
В каждом из нас,Artem Pivovarov,Artem Pivovarov,2cIW3ossD4vZBc5ldfBYSE,11sIz9STeD6yVSuBaD8nMW,286000,18,2A7ksCn1pladjd4P9ghpp1,Земной,2019-11-08,10
"Арфами, арфами",Artem Pivovarov,Artem Pivovarov,3psnha4k07wP3r7M1x3pLn,11sIz9STeD6yVSuBaD8nMW,221850,20,0S4LXT9ZEn05CKJmL6o2C6,"Арфами, арфами",2021-08-24,1
2000 - UA VERSION,Artem Pivovarov,Artem Pivovarov,4wWjDWxg3G7vGLCOck1Kac,11sIz9STeD6yVSuBaD8nMW,233437,26,5mM1lTjE0J6uIqqE9TmCs9,The Best (UA),2022-11-04,15
Відчуй,Artem Pivovarov,Artem Pivovarov,5f7LRLr8MJovGofJlZakP0,11sIz9STeD6yVSuBaD8nMW,222577,26,5mM1lTjE0J6uIqqE9TmCs9,The Best (UA),2022-11-04,15
Очі - Radio Edit,Artem Pivovarov,Artem Pivovarov,3roS9fE7J1Quh0PQEOnOSW,11sIz9STeD6yVSuBaD8nMW,179009,24,0IYlHtB8Mvf8d445ocJFB9,THE BEST,2024-05-27,20
Мимо меня,Artem Pivovarov,Artem Pivovarov,3KfCmp6Sm9z6h6jBsRFeQE,11sIz9STeD6yVSuBaD8nMW,228000,12,2A7ksCn1pladjd4P9ghpp1,Земной,2019-11-08,10
Маніфест - Orchestra Live,Artem Pivovarov,Artem Pivovarov,7w9tUy8C5PTWAu1pRJWqWy,11sIz9STeD6yVSuBaD8nMW,281750,20,0IYlHtB8Mvf8d445ocJFB9,THE BEST,2024-05-27,20
Моя ночь,Artem Pivovarov,Artem Pivovarov,68oMdrmZZiBkYcN3V61oJX,11sIz9STeD6yVSuBaD8nMW,196000,16,4Iwu1iCCc3J3oYqtuDU8Uy,Стихия воды,2017-02-10,10
Трiолет,Artem Pivovarov,Artem Pivovarov,0zsuoVnccyy0b1zHIFXO9k,11sIz9STeD6yVSuBaD8nMW,120500,28,5WNjZdBlj83NeNSJF3xgrJ,"Твої Вірші, Мої Ноти PT.1",2023-03-10,17
Оазис,Artem Pivovarov,Artem Pivovarov,2yaYe9Cz8CyUecxBJqBkvB,11sIz9STeD6yVSuBaD8nMW,232415,12,2A7ksCn1pladjd4P9ghpp1,Земной,2019-11-08,10
Думи - Orchestra Live,Artem Pivovarov,Artem Pivovarov,2De9xSkWKVnrHwgfVYBLr0,11sIz9STeD6yVSuBaD8nMW,179004,21,0IYlHtB8Mvf8d445ocJFB9,THE BEST,2024-05-27,20
Говори,Artem Pivovarov,Artem Pivovarov,1n7Nb6zZm8PvLs5QxkAgRT,11sIz9STeD6yVSuBaD8nMW,232000,23,4Iwu1iCCc3J3oYqtuDU8Uy,Стихия воды,2017-02-10,10
Хвилини,Artem Pivovarov,Artem Pivovarov,6o3ieJJaM9K0BGZz7leXr5,11sIz9STeD6yVSuBaD8nMW,238680,13,0YsnO662yMAjaOa99vxBug,Океан,2015-08-31,11
Мова,Artem Pivovarov,Artem Pivovarov,7n1uVnlAdVdp6w7NNQr7oD,11sIz9STeD6yVSuBaD8nMW,218564,29,4fOVNjfH6pTfsTuveKWfKx,"Мова вітру (З м/ф ""Мавка. Лісова пісня"")",2023-02-14,1
Міраж - Orchestra Live,Artem Pivovarov,Artem Pivovarov,1Z8OzCkbk1LP8pCn0TP5Mm,11sIz9STeD6yVSuBaD8nMW,216091,21,0IYlHtB8Mvf8d445ocJFB9,THE BEST,2024-05-27,20
Молодий,Artem Pivovarov,Artem Pivovarov,035TECrTI9f3qvBUvwWPaf,11sIz9STeD6yVSuBaD8nMW,190004,19,5WNjZdBlj83NeNSJF3xgrJ,"Твої Вірші, Мої Ноти PT.1",2023-03-10,17
На глубине,Artem Pivovarov,Artem Pivovarov,0hxJ2JBqcbe8t2KYSxBxEF,11sIz9STeD6yVSuBaD8nMW,190000,8,4Iwu1iCCc3J3oYqtuDU8Uy,Стихия воды,2017-02-10,10
"Мои Стихи, Твои Ноты",Artem Pivovarov,Artem Pivovarov,10mcpy5ViKFT4PlgHSEPIc,11sIz9STeD6yVSuBaD8nMW,233187,6,2A7ksCn1pladjd4P9ghpp1,Земной,2019-11-08,10
Кохання,Artem Pivovarov,Artem Pivovarov,7uhaRSf5Y2ZYdQC2bEwYUP,11sIz9STeD6yVSuBaD8nMW,186760,35,4NYbJJwI4ylj4DLOTuhD1E,"Твої Вірші, Мої Ноти PT.2",2024-11-29,17
Вона,Artem Pivovarov,Artem Pivovarov,0kGMxjPGmJ4o3VuENoMp2b,11sIz9STeD6yVSuBaD8nMW,143414,31,4NYbJJwI4ylj4DLOTuhD1E,"Твої Вірші, Мої Ноти PT.2",2024-11-29,17
Оставайся собой,Artem Pivovarov,Artem Pivovarov,1Wxds0ILBDUtKDanrPH2o0,11sIz9STeD6yVSuBaD8nMW,254032,8,36A2C27tLbYq3xhaulRiUr,Стихия огня,2017-12-01,10
Кислород - Slowed Version,Artem Pivovarov,Artem Pivovarov,2CYTPVcbahXjkEp2kdANYu,11sIz9STeD6yVSuBaD8nMW,164550,21,51qKaVM72YQlCqdYFacb1K,Кислород (Slowed Version),2021-02-14,1
Провинциальный,Artem Pivovarov,Artem Pivovarov,6Kaab7vlJvQwReJJLQoQxE,11sIz9STeD6yVSuBaD8nMW,220000,5,36A2C27tLbYq3xhaulRiUr,Стихия огня,2017-12-01,10
Мій Рай,Artem Pivovarov,Artem Pivovarov,5cLLpM4v7sbhKC6AkGkNe7,11sIz9STeD6yVSuBaD8nMW,154203,14,5WNjZdBlj83NeNSJF3xgrJ,"Твої Вірші, Мої Ноти PT.1",2023-03-10,17
Літак,Artem Pivovarov,Artem Pivovarov,1oovmiGPVNhKEJLifz8Kk2,11sIz9STeD6yVSuBaD8nMW,171394,13,5WNjZdBlj83NeNSJF3xgrJ,"Твої Вірші, Мої Ноти PT.1",2023-03-10,17
Тело,Artem Pivovarov,Artem Pivovarov,363SYCcNc6BoquH2pDhNSC,11sIz9STeD6yVSuBaD8nMW,240000,6,36A2C27tLbYq3xhaulRiUr,Стихия огня,2017-12-01,10
Стихия,Artem Pivovarov,Artem Pivovarov,6Njt0DopleUiojd9v2fX0W,11sIz9STeD6yVSuBaD8nMW,234110,7,4Iwu1iCCc3J3oYqtuDU8Uy,Стихия воды,2017-02-10,10
"Минають дні, минають ночі",Artem Pivovarov,Artem Pivovarov,6i6xym6fTHgxVMfXCSGoJk,11sIz9STeD6yVSuBaD8nMW,149999,28,5mM1lTjE0J6uIqqE9TmCs9,The Best (UA),2022-11-04,15
Иду,Artem Pivovarov,Artem Pivovarov,0MRoDwHfiID5ha3giOaGDS,11sIz9STeD6yVSuBaD8nMW,217068,8,4Iwu1iCCc3J3oYqtuDU8Uy,Стихия воды,2017-02-10,10
