Epoch	train_cost	val_cost	epoch_time	learing_rate
605	0.90056	3.99869	110.817s	0.0001
606	0.796958	3.96975	110.396s	0.0001
607	0.833271	3.99411	110.758s	0.0001
608	0.773984	4.01297	110.539s	0.0001
609	0.77583	4.05732	110.771s	0.0001
610	0.759926	4.08365	110.586s	0.0001
611	0.751861	4.03224	110.699s	0.0001
612	0.768399	4.01495	111.223s	0.0001
613	0.754596	4.19474	110.578s	0.0001
614	0.756544	4.03353	110.728s	0.0001
615	0.757448	4.11782	110.518s	0.0001
616	0.769237	4.11644	110.589s	0.0001
617	0.752454	3.9841	110.614s	0.0001
618	0.742333	4.11143	110.737s	0.0001
619	0.759782	4.06453	110.706s	0.0001
620	0.74919	4.06287	111.24s	0.0001
621	0.74616	4.22318	111.226s	0.0001
622	0.732657	4.03429	110.596s	0.0001
623	0.73412	4.05274	110.607s	0.0001
624	0.727299	4.12666	110.803s	0.0001
625	0.73411	4.17192	110.771s	0.0001
626	0.752696	4.11984	110.851s	0.0001
627	0.767145	4.03363	110.627s	0.0001
628	0.748708	3.98418	110.803s	0.0001
629	0.728783	4.05911	110.467s	0.0001
