title,artist,albums,albums_filtered,main_album
Коли тобі важко,Океан Ельзи,['Міра'],['Міра'],Міра
Кішка,Океан Ельзи,"['Суперсиметрія', 'The Best Of']",['Суперсиметрія'],Суперсиметрія
18 хвилин,Океан Ельзи,"['Dolce Vita', 'Dolce Vita (Remastered)']",['Dolce Vita'],Dolce Vita
День у день,Океан Ельзи,['Міра'],['Міра'],Міра
Компас,Океан Ельзи,"['Dolce Vita', 'Dolce Vita (Remastered)']",['Dolce Vita'],Dolce Vita
Сонце сідає,Океан Ельзи,"['Gloria', '100 лучших песен']",['Gloria'],Gloria
Сьогоднi,Океан Ельзи,[],[],Other
Ти собi сама,Океан Ельзи,"['Найкраще', 'найкраще']",[],Other
Бодегіта,Океан Ельзи,['Земля'],['Земля'],Земля
Не йди,Океан Ельзи,"['Без меж', 'Не йди']",['Без меж'],Other
Коли навколо ні душі,Океан Ельзи,[],[],Other
Королева,Океан Ельзи,"['Dolce Vita', 'Dolce Vita (Remastered)']",['Dolce Vita'],Dolce Vita
Тінь твого тіла,Океан Ельзи,"['Gloria', '100 лучших песен']",['Gloria'],Gloria
Караван,Океан Ельзи,['Земля'],['Земля'],Земля
Ще один день,Океан Ельзи,"['Dolce Vita', 'Dolce Vita (Remastered)']",['Dolce Vita'],Dolce Vita
Isn't it сон,Океан Ельзи,"['Модель', 'Найкраще']",['Модель'],Модель
Мало менi,Океан Ельзи,"['Янанебібув', 'Tviй Формат']","['Tviй Формат', 'Янанебібув']",Tviй Формат
Вільний,Океан Ельзи,"['Суперсиметрія', 'Суперсиметрия']",['Суперсиметрія'],Суперсиметрія
Ти забула давно,Океан Ельзи,"['Там, де нас нема', '100 лучших песен']","['Там, де нас нема']","Там, де нас нема"
Ото була весна,Океан Ельзи,"['1221', 'Tviй Формат']","['1221', 'Tviй Формат']",Tviй Формат
Як останній день,Океан Ельзи,['Gloria'],['Gloria'],Gloria
Небо над дніпром,Океан Ельзи,"['Dolce Vita', 'Dolce Vita (Remastered)']",['Dolce Vita'],Dolce Vita
Ордени,Океан Ельзи,"['Dolce Vita', 'Dolce Vita (Remastered)']",['Dolce Vita'],Dolce Vita
Тадж-махал,Океан Ельзи,"['Там, де нас нема', '100 лучших песен']","['Там, де нас нема']","Там, де нас нема"
Пори року,Океан Ельзи,['Земля'],['Земля'],Земля
Позич менi сонце,Океан Ельзи,[],[],Other
Фіалки,Океан Ельзи,"['Янанебібув', 'Самое лучшее']",['Янанебібув'],Янанебібув
Ночі і дні,Океан Ельзи,"['Міра', 'Избранное']",['Міра'],Міра
Вiддам,Океан Ельзи,['Tviй Формат'],['Tviй Формат'],Tviй Формат
Янанебiбув,Океан Ельзи,[],[],Other
Голос твiй,Океан Ельзи,[],[],Other
Shadows of Light,The Hardkiss,['Cold Altair'],['Cold Altair'],Cold Altair
Море,The Hardkiss,['Залізна ластівка'],['Залізна ластівка'],Залізна ластівка
CLOSER,The Hardkiss,['Perfection Is a Lie'],['Perfection Is a Lie'],Perfection Is a Lie
Does It Feel,The Hardkiss,['Залізна ластівка'],['Залізна ластівка'],Залізна ластівка
Жоржина,The Hardkiss,"['Жива і не залізна', 'Zhyva i ne zalizna']",['Жива і не залізна'],Жива і не залізна
Астронавт,The Hardkiss,['Залізна ластівка'],['Залізна ластівка'],Залізна ластівка
Complicity,The Hardkiss,[],[],Other
Андромеда,The Hardkiss,['Залізна ластівка'],['Залізна ластівка'],Залізна ластівка
Festival,The Hardkiss,"['Festival', 'Festival - Single']",[],Other
Бувай,The Hardkiss,['Залізна ластівка'],['Залізна ластівка'],Залізна ластівка
Lovers,The Hardkiss,"['Lovers', 'Lovers - Single']",[],Other
Тільки там,The Hardkiss,"['Тільки там', 'Тільки там - Single']",[],Other
А2,The Hardkiss,['Perfection Is a Lie'],['Perfection Is a Lie'],Perfection Is a Lie
Blues,The Hardkiss,[],[],Other
Волны,The Hardkiss,[],[],Other
Part One Hard,The Hardkiss,[],[],Other
Blues - Bonus,The Hardkiss,[],[],Other
Part Two Kiss,The Hardkiss,[],[],Other
Posmakuj,alyona alyona,['Posmakuj'],[],Other
Муляжі,alyona alyona,"['Муляжі', 'Муляжі - Single']",[],Other
Тато,alyona alyona,"['Тато', 'Тато - Single']",[],Other
За нами перемога,alyona alyona,"['За нами перемога - Single', 'За нами перемога']",[],Other
В темноті,alyona alyona,"['В темноті', 'В темноті - Single']",[],Other
Екзамен,alyona alyona,['Екзамен'],[],Other
